sample	K1	K2	K3	K4	K5
And_591	0	0.0003	0	0.9997	0
And_592	0	0.2378	0.3259	0.4363	0
And_593	0.036	0.183	0.1924	0.5885	0
And_594	0.0357	0.1817	0.1899	0.5927	0
And_595	0.1373	0.1484	0.0253	0.3009	0.3881
And_596	0	0.354	0.279	0.367	0
And_597	0	0.1034	0.225	0.6716	0
And_598	0.085	0.2054	0.0977	0.5882	0.0237
And_599	0	0.0003	0.9983	0.0013	0
And_600	0	0.3533	0.2793	0.3673	0
And_601	0.0023	0.0854	0.0947	0.815	0.0027
And_602	0.0023	0.0307	0.085	0.8744	0.0077
And_603	0.9327	0.035	0.0317	0.0007	0
And_604	0	0.2421	0.3263	0.4316	0
And_605	0	0	1	0	0
And_606	0	0	1	0	0
And_607	0.0797	0.269	0.127	0.4987	0.0257
And_608	0.7513	0.0053	0.001	0.1307	0.1117
And_609	0	0.2662	0.2628	0.471	0
And_610	0.0007	0.096	0.0807	0.8226	0
And_611	0.0193	0.2631	0.2081	0.5075	0.002
And_612	0.9333	0.0357	0.0307	0.0003	0
And_613	0	0.2427	0.3223	0.435	0
And_614	0.932	0.0357	0.032	0.0003	0
And_615	0	0.242	0.3223	0.4357	0
And_616	0	0.0003	0	0.9997	0
And_617	0	0	1	0	0
And_618	0	0.176	0.2432	0.5805	0.0003
And_619	0	0.2415	0.3205	0.438	0
And_620	0.2063	0.109	0.0647	0.6038	0.0163
And_621	0.5944	0.0003	0	0.2392	0.1661
And_622	0	0.35	0.265	0.3847	0.0003
And_623	0.5908	0.0003	0	0.2444	0.1644
And_624	0.3333	0	0	0	0.6667
